size,threshold,pretrain_steps,median_episodes,min_episodes,max_episodes,median_accuracy
0.5×,0.97,0,1700.0,1200,2000,
0.5×,0.97,20,1900.0,1600,2400,
0.5×,0.97,40,1800.0,1500,2000,
0.5×,0.97,60,1200.0,1100,1400,
0.5×,0.97,80,1100.0,800,1400,
0.5×,0.97,100,1100.0,800,1300,
0.5×,0.99,0,2600.0,1800,3200,
0.5×,0.99,20,3100.0,2400,3700,
0.5×,0.99,40,2400.0,1800,3700,
0.5×,0.99,60,2200.0,1400,3400,
0.5×,0.99,80,2500.0,1400,2900,
0.5×,0.99,100,1800.0,1300,2200,
0.5×,accuracy,0,,,,0.20947315096251268
0.5×,accuracy,20,,,,0.779113773168842
0.5×,accuracy,40,,,,0.905000297991537
0.5×,accuracy,60,,,,0.9321473270159127
0.5×,accuracy,80,,,,0.9501162166994457
0.5×,accuracy,100,,,,0.9752816020025031
1×,0.97,0,1300.0,1000,1600,
1×,0.97,20,1100.0,1100,1400,
1×,0.97,40,1100.0,800,1700,
1×,0.97,60,600.0,500,700,
1×,0.97,80,400.0,300,600,
1×,0.97,100,500.0,200,500,
1×,0.99,0,1700.0,1600,1800,
1×,0.99,20,2200.0,1600,3000,
1×,0.99,40,1600.0,1100,2600,
1×,0.99,60,1400.0,900,1800,
1×,0.99,80,800.0,800,1200,
1×,0.99,100,600.0,300,800,
1×,accuracy,0,,,,0.20832588354490733
1×,accuracy,20,,,,0.827060611478634
1×,accuracy,40,,,,0.9357232254603969
1×,accuracy,60,,,,0.964017521902378
1×,accuracy,80,,,,0.9770844508015972
1×,accuracy,100,,,,0.9860986947970678
2×,0.97,0,800.0,700,1400,
2×,0.97,20,800.0,600,1100,
2×,0.97,40,500.0,300,700,
2×,0.97,60,500.0,400,600,
2×,0.97,80,400.0,200,600,
2×,0.97,100,200.0,100,500,
2×,0.99,0,1100.0,800,1400,
2×,0.99,20,1300.0,1000,1500,
2×,0.99,40,700.0,500,1000,
2×,0.99,60,800.0,700,900,
2×,0.99,80,500.0,300,700,
2×,0.99,100,400.0,200,600,
2×,accuracy,0,,,,0.007077299004708266
2×,accuracy,20,,,,0.7578967757315692
2×,accuracy,40,,,,0.8935872221228917
2×,accuracy,60,,,,0.9379134632576435
2×,accuracy,80,,,,0.9655223791644317
2×,accuracy,100,,,,0.9939805709517849
